Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,73.300003,73.440002,72.410004,72.699997,72.314713,23600100
2017-08-01,73.099998,73.419998,72.489998,72.580002,72.195358,22132300
2017-08-02,72.550003,72.559998,71.440002,72.260002,71.877052,26499200
2017-08-03,72.190002,72.440002,71.849998,72.150002,71.767632,18214400
2017-08-04,72.400002,73.040001,72.239998,72.680000,72.294823,22579000
2017-08-07,72.800003,72.900002,72.260002,72.400002,72.016312,18705700
2017-08-08,72.089996,73.129997,71.750000,72.790001,72.404243,22044600
2017-08-09,72.250000,72.510002,72.050003,72.470001,72.085938,22213400
2017-08-10,71.900002,72.190002,71.349998,71.410004,71.031555,24734500
2017-08-11,71.610001,72.699997,71.279999,72.500000,72.115776,21443700
2017-08-14,73.059998,73.720001,72.949997,73.589996,73.199997,20067300
2017-08-15,73.589996,73.589996,73.040001,73.220001,73.220001,19181400
2017-08-16,73.339996,74.099998,73.169998,73.650002,73.650002,18150400
2017-08-17,73.580002,73.870003,72.400002,72.400002,72.400002,22977500
2017-08-18,72.269997,72.839996,71.930000,72.489998,72.489998,18761500
2017-08-21,72.470001,72.480003,71.699997,72.150002,72.150002,17734800
2017-08-22,72.349998,73.239998,72.349998,73.160004,73.160004,14343700
2017-08-23,72.959999,73.150002,72.529999,72.720001,72.720001,13766500
2017-08-24,72.739998,72.860001,72.070000,72.690002,72.690002,17098300
2017-08-25,72.860001,73.349998,72.480003,72.820000,72.820000,12780500
2017-08-28,73.059998,73.089996,72.550003,72.830002,72.830002,9308020
